gender,tenth_board,tenth_marks,twelfth_board,twelfth_marks,Stream,cgpa,cgpa_category,internship,training,has_backlogs,project,communication_score,communication,technical_score,skill_score,placement
Female,CBSE,77.8,WBCHSE,94.3,Computer Science and Engineering,9,High,1,1,0,0,4,Good,0,6,0
Male,State Board,77.6,WBCHSE,80.9,Information Technology,7.74,High,0,0,0,1,3,Average,1,5,1
Female,CBSE,71,ISE,67.1,Information Technology,8.48,High,1,1,0,1,3,Average,1,7,1
Male,CBSE,94.1,CBSE,66.4,Electronics and Communication Engineering,7.05,Average,0,1,1,1,2,Below Average,1,5,0
Female,ICSE,72.1,CBSE,70.2,Computer Science in AIML,7.16,Average,0,0,0,1,2,Below Average,1,4,1
Female,ICSE,82.6,WBCHSE,67.3,Computer Science and Engineering,7.95,High,1,1,0,1,3,Average,1,7,1
Male,WBBSE,71.9,WBCHSE,67.4,Electrical and Electronics Engineering,7.88,High,0,0,0,1,1,Poor,1,3,1
Female,CBSE,80.5,ISE,74.2,Electronics and Communication Engineering,8.86,High,1,1,1,1,2,Below Average,1,6,0
Female,State Board,87.2,WBCHSE,80.4,Electronics and Communication Engineering,7.65,High,1,1,1,0,4,Good,1,7,0
Female,CBSE,70.3,Other state Board,79,Computer Science and Engineering,9.34,High,1,1,0,1,2,Below Average,1,6,0
Male,State Board,75.2,WBCHSE,82.5,Mechanical Engineering,8.52,High,0,0,0,0,5,Excellent,0,5,0
Male,State Board,78.9,ISE,91.2,Electrical Engineering,8.65,High,0,1,0,1,1,Poor,1,4,1
Female,WBBSE,86.3,Other state Board,62.6,Computer Science in AIML,7.1,Average,0,1,0,1,1,Poor,1,4,1
Female,State Board,96.9,CBSE,89.8,Civil Engineering,7.09,Average,1,1,1,1,3,Average,1,7,0
Male,ICSE,75.9,CBSE,85.4,Computer Science in AIML,7.64,High,0,1,1,1,4,Good,1,7,0
Female,CBSE,99.6,ISE,81.7,Computer Science and Engineering,8.57,High,1,0,0,0,3,Average,0,4,0
Female,CBSE,95,CBSE,92.5,Information Technology,7.69,High,1,1,0,0,5,Excellent,1,8,0
Female,CBSE,72,CBSE,65.1,Civil Engineering,7.57,High,0,1,1,1,1,Poor,0,3,0
Female,ICSE,88.6,WBCHSE,73.2,Computer Science and Engineering,9.23,High,1,1,0,1,3,Average,1,7,1
Male,CBSE,80.7,Other state Board,76.1,Computer Science in AIML,9.51,High,1,0,1,1,1,Poor,1,4,0
Male,CBSE,95,CBSE,90,IMsc Maths and Computing,8.15,High,1,0,0,1,4,Good,1,7,0
Female,State Board,92,Other state Board,67.4,Mechanical Engineering,9.35,High,0,1,0,1,2,Below Average,1,5,1
Male,ICSE,84.4,Other state Board,87.6,Computer Science and Design,8.58,High,1,0,0,1,3,Average,1,6,1
Male,WBBSE,86.6,WBCHSE,84.4,Computer Science and Design,7.13,Average,0,0,0,1,3,Average,1,5,1
Male,CBSE,96.4,CBSE,97,Electronics and Communication and Engineeing,8.91,High,0,1,1,0,3,Average,1,5,0
Female,ICSE,76.1,Other state Board,60.4,Electronics and Communication Engineering,8.94,High,1,0,0,1,1,Poor,1,4,1
Male,CBSE,75.6,Other state Board,93.8,Electrical Engineering,8.99,High,1,0,0,1,4,Good,1,7,1
Male,WBBSE,99.9,CBSE,86.9,Mechanical Engineering,7.6,High,0,1,0,1,4,Good,1,7,1
Male,CBSE,75,CBSE,48,Information Technology,5.75,Low,0,0,1,0,3,Average,1,4,0
Female,State Board,79.6,WBCHSE,61.7,Computer Science in Data Science,7.92,High,0,1,1,1,4,Good,1,7,0
Male,State Board,91.1,ISE,74.2,Chemical Engineering,8.37,High,0,0,0,1,2,Below Average,1,4,1
Female,CBSE,86.4,ISE,85.1,Electronics and Communication Engineering,9.56,High,0,0,0,1,3,Average,1,5,0
Female,State Board,70.4,ISE,87.2,Civil Engineering,9.35,High,0,0,0,1,1,Poor,1,3,1
Male,ICSE,86.7,Other state Board,93,Computer Science and Engineering,7.45,Average,1,1,0,1,1,Poor,1,5,1
Female,CBSE,72.2,CBSE,74.8,Computer Science in AIML,8.02,High,1,1,0,1,2,Below Average,1,6,1
Male,CBSE,75,CBSE,68,Computer Science and Engineering,8.2,High,1,0,1,1,4,Good,1,7,1
Female,CBSE,95,CBSE,86.4,Information Technology,9.46,High,1,1,0,1,3,Average,1,7,0
Female,State Board,88.1,ISE,60.2,Electrical and Electronics Engineering,8.61,High,0,0,0,1,2,Below Average,1,4,1
Female,ICSE,94.3,ISE,72.3,Electrical Engineering,8.53,High,0,1,0,1,2,Below Average,1,5,1
Male,WBBSE,85,WBCHSE,87,Information Technology,9.3,High,0,1,0,1,3,Average,1,6,1
Male,ICSE,82.8,ISE,87.2,Electrical and Electronics Engineering,8.49,High,0,1,0,0,4,Good,1,6,0
Male,WBBSE,64,WBCHSE,68,Computer Science and Design,7.5,Average,0,1,0,1,4,Good,1,7,1
Female,ICSE,94,ISE,87.2,Electronics and Communication Engineering,9.31,High,1,0,0,1,5,Excellent,1,8,1
Female,WBBSE,71.8,WBCHSE,93.3,Mechanical Engineering,9.01,High,1,0,0,0,2,Below Average,0,3,0
Male,State Board,76,CBSE,60.3,Chemical Engineering,7.84,High,0,0,1,1,1,Poor,1,3,0
Male,State Board,72.2,CBSE,77,Information Technology,8.27,High,1,1,1,1,3,Average,1,7,0
Female,ICSE,96.5,ISE,86.8,Electrical Engineering,9.29,High,0,1,0,1,3,Average,1,6,1
Female,WBBSE,86.9,Other state Board,87.4,Chemical Engineering,9.02,High,0,1,0,1,4,Good,0,6,0
Female,ICSE,82.4,Other state Board,88.6,Computer Science and Engineering,9.26,High,1,0,0,0,1,Poor,0,2,0
Male,ICSE,74.9,Other state Board,81.5,Information Technology,7.32,Average,1,0,0,1,5,Excellent,1,8,1
Female,WBBSE,75,Other state Board,81.1,Computer Science and Engineering,8.84,High,1,0,1,0,2,Below Average,1,4,0
Female,CBSE,87.4,CBSE,81.6,Information Technology,7.03,Average,0,1,0,1,2,Below Average,1,5,0
Female,CBSE,73.9,CBSE,63.9,Computer Science in Data Science,7.92,High,1,0,0,1,4,Good,1,7,1
Male,WBBSE,82.1,ISE,72.1,Electronics and Communication Engineering,8.11,High,1,0,0,1,4,Good,1,7,1
Male,ICSE,70.1,Other state Board,74.7,Electronics and Communication Engineering,8.46,High,1,1,0,0,1,Poor,0,3,0
Female,State Board,82.7,ISE,92.2,Computer Science and Design,9.38,High,1,0,0,1,2,Below Average,1,5,1
Female,ICSE,81.9,WBCHSE,84.5,Computer Science and Engineering,8.34,High,1,1,1,0,1,Poor,0,3,0
Female,CBSE,88.7,ISE,65.9,Electrical Engineering,7.15,Average,0,0,0,1,5,Excellent,0,6,0
Female,CBSE,93.5,Other state Board,69.8,Computer Science and Design,8.8,High,1,0,1,1,3,Average,1,6,0
Female,CBSE,98.9,CBSE,94.1,Electronics and Communication Engineering,9.3,High,1,0,0,0,5,Excellent,1,7,0
Male,ICSE,77.4,ISE,67.1,Computer Science and Design,8.95,High,0,1,0,0,5,Excellent,1,7,0
Male,State Board,94.6,CBSE,88.3,Electronics and Communication Engineering,7.44,Average,1,0,0,1,1,Poor,1,4,1
Male,CBSE,82.3,ISE,65.9,Electrical and Electronics Engineering,7.78,High,0,1,0,1,4,Good,1,7,1
Female,CBSE,85.6,WBCHSE,68.2,Computer Science and Engineering,9.2,High,1,1,0,0,4,Good,1,7,0
Female,WBBSE,88.2,ISE,71.5,Electronics and Communication Engineering,9.1,High,1,1,0,1,5,Excellent,1,9,1
Female,WBBSE,96.8,Other state Board,94.9,Information Technology,7.82,High,1,0,1,0,2,Below Average,1,4,0
Female,CBSE,86.7,Other state Board,63.9,Electronics and Communication Engineering,7.29,Average,1,1,0,1,2,Below Average,0,5,0
Female,ICSE,72.6,WBCHSE,91.6,Computer Science and Design,8.84,High,1,1,0,0,2,Below Average,1,5,0
Female,ICSE,94.7,Other state Board,87.3,Computer Science and Engineering,7.67,High,1,0,0,0,2,Below Average,0,3,0
Male,ICSE,99.6,Other state Board,94,Electrical and Electronics Engineering,7.18,Average,0,1,1,1,5,Excellent,0,7,0
Female,WBBSE,81.4,ISE,68.1,Electronics and Communication Engineering,7.57,High,1,1,0,1,2,Below Average,0,5,0
Male,ICSE,77.7,CBSE,79.2,Electrical Engineering,7.15,Average,0,0,1,0,5,Excellent,1,6,0
Male,WBBSE,80.2,Other state Board,91.8,Computer Science and Engineering,8.97,High,1,0,0,1,5,Excellent,1,8,1
Female,WBBSE,89.6,WBCHSE,78,Civil Engineering,8.57,High,1,1,0,1,1,Poor,1,5,1
Female,CBSE,71.4,ISE,92.3,Computer Science and Engineering,7.42,Average,0,0,1,1,4,Good,1,6,0
Male,ICSE,87,CBSE,75,Computer Science and Engineering,9.47,High,1,1,0,1,3,Average,0,6,0
Female,State Board,84.7,WBCHSE,84.4,Information Technology,7.25,Average,0,1,0,0,1,Poor,0,2,0
Male,WBBSE,72,CBSE,64.4,Information Technology,8.33,High,1,1,0,1,5,Excellent,1,9,1
Male,ICSE,74.8,ISE,83.9,Computer Science in AIML,9.17,High,1,1,0,1,2,Below Average,1,6,1
Male,WBBSE,70,WBCHSE,78,Computer Science and Design,8.9,High,1,0,0,1,2,Below Average,1,5,1
Female,WBBSE,75.9,WBCHSE,85.2,Computer Science and Design,8.43,High,0,1,0,1,1,Poor,1,4,1
Female,State Board,72.4,CBSE,67.6,Civil Engineering,8.12,High,0,0,0,1,4,Good,1,6,1
Female,WBBSE,96.2,CBSE,60.1,Civil Engineering,7.49,Average,0,1,0,1,1,Poor,1,4,1
Male,State Board,93,Other state Board,92,Computer Science and Engineering,9,High,1,0,0,0,3,Average,1,5,0
Male,State Board,70,ISE,94.8,Computer Science in AIML,9.48,High,1,0,0,1,5,Excellent,1,8,1
Female,ICSE,75.6,WBCHSE,68.9,Electrical and Electronics Engineering,8.95,High,0,0,1,1,3,Average,0,4,0
Male,WBBSE,60,WBCHSE,69,Computer Science and Design,9,High,0,0,0,0,3,Average,0,3,1
Male,CBSE,85.3,Other state Board,72.8,Mechanical Engineering,8.85,High,1,1,0,1,2,Below Average,1,6,1
Female,ICSE,89.2,CBSE,82.7,Computer Science and Design,9.37,High,1,0,0,1,1,Poor,1,4,1
Female,WBBSE,94.9,WBCHSE,84.7,Electrical Engineering,8.59,High,0,0,0,1,3,Average,0,4,0
Male,CBSE,87,CBSE,87.8,Electrical Engineering,8.15,High,1,0,1,1,4,Good,1,7,0
Female,CBSE,98.7,CBSE,60.9,Electronics and Communication Engineering,7.19,Average,1,0,0,1,4,Good,0,6,0
Male,CBSE,84.6,ISE,79.1,Electrical Engineering,9.44,High,0,0,0,1,1,Poor,1,3,1
Male,State Board,80.4,CBSE,65.6,Mechanical Engineering,7.97,High,0,0,0,1,4,Good,1,6,1
Male,State Board,80.3,WBCHSE,74.9,Mechanical Engineering,9.12,High,1,0,1,1,4,Good,1,7,0
Female,ICSE,95.4,Other state Board,65.8,Civil Engineering,7.42,Average,0,1,1,1,4,Good,1,7,0
Female,State Board,87.5,Other state Board,78.9,Civil Engineering,8.46,High,0,0,0,0,4,Good,1,5,0
Male,ICSE,91.8,WBCHSE,89.5,Information Technology,8.47,High,1,0,0,1,2,Below Average,1,5,1
Female,ICSE,95.4,WBCHSE,93,Civil Engineering,8.58,High,0,1,0,1,2,Below Average,1,5,1
Male,State Board,96.4,ISE,83,Mechanical Engineering,7.17,Average,1,0,0,1,1,Poor,1,4,1
Female,State Board,79.6,CBSE,87.4,Electrical and Electronics Engineering,8.54,High,0,1,0,1,1,Poor,1,4,0
Female,State Board,100,WBCHSE,93.1,Electrical and Electronics Engineering,8.34,High,0,0,0,1,4,Good,1,6,1
Female,WBBSE,70.5,CBSE,82.9,Electrical and Electronics Engineering,9.32,High,1,1,0,1,2,Below Average,1,6,1
Male,WBBSE,70,WBBSE,80,Computer Science and Engineering,9.1,High,0,1,1,1,3,Average,1,6,1
Male,State Board,86.8,CBSE,64.6,Electronics and Communication Engineering,9,High,1,1,1,1,1,Poor,0,4,0
Male,ICSE,91.4,ISE,92.2,Computer Science and Engineering,7.96,High,1,0,0,1,4,Good,1,7,1
Male,CBSE,70.4,ISE,89.3,Electrical Engineering,9.48,High,0,0,0,1,2,Below Average,1,4,1
Male,State Board,78.6,CBSE,83.9,Electrical Engineering,7.99,High,0,1,0,1,2,Below Average,1,5,1
Male,WBBSE,90.5,WBCHSE,61,Computer Science in Data Science,9.39,High,1,1,0,1,4,Good,1,8,1
Female,CBSE,91.8,Other state Board,78.7,Computer Science in Data Science,7.62,High,1,1,0,1,1,Poor,1,5,1
Male,WBBSE,91.9,WBCHSE,79.9,Computer Science in AIML,7.13,Average,0,1,0,1,5,Excellent,1,8,1
Female,WBBSE,74.1,Other state Board,67.8,Computer Science and Engineering,7.16,Average,0,0,0,1,4,Good,1,6,1
Female,ICSE,96.7,WBCHSE,75.7,Computer Science and Design,8.88,High,1,1,0,1,3,Average,1,7,1
Female,CBSE,81.2,Other state Board,74.7,Computer Science in Data Science,7.09,Average,0,1,1,0,3,Average,1,5,0
Female,State Board,80.2,WBCHSE,94.3,Electrical and Electronics Engineering,8.8,High,0,0,1,1,5,Excellent,1,7,0
Female,CBSE,99.5,CBSE,90.1,Electrical Engineering,7.37,Average,0,0,0,1,1,Poor,1,3,1
Male,CBSE,83.1,CBSE,61.9,Electronics and Communication Engineering,7.37,Average,1,0,0,1,3,Average,1,6,1
Female,CBSE,75.5,WBCHSE,73.8,Computer Science in Data Science,8.55,High,0,1,0,1,5,Excellent,1,8,1
Male,ICSE,76.3,CBSE,81.8,Information Technology,9.07,High,1,1,0,1,5,Excellent,1,9,1
Female,ICSE,73,WBCHSE,72.8,Electrical Engineering,8.35,High,0,0,0,0,4,Good,1,5,0
Male,State Board,84.2,ISE,78.8,Electronics and Communication Engineering,8.88,High,1,0,0,1,3,Average,1,6,1
Male,CBSE,90.6,CBSE,69.9,Civil Engineering,8.33,High,0,0,0,1,2,Below Average,1,4,1
Female,State Board,94.6,Diploma board - MSBTE,91.5,Electronics Engineering,8.3,High,1,1,1,0,2,Below Average,1,5,0
Female,WBBSE,81.2,WBCHSE,70,Electrical and Electronics Engineering,7.36,Average,0,1,0,1,2,Below Average,1,5,0
Male,CBSE,83,CBSE,88,Computer Science and Engineering,7.9,High,0,0,0,0,2,Below Average,0,2,1
Male,CBSE,92.3,CBSE,91.3,Computer Science in AIML,8.78,High,1,1,1,0,2,Below Average,1,5,0
Female,WBBSE,96.6,WBCHSE,85,Electrical Engineering,8.54,High,1,0,0,1,4,Good,1,7,1
Male,ICSE,71.3,WBCHSE,91.8,Mechanical Engineering,7.52,High,0,1,0,1,1,Poor,1,4,1
Male,CBSE,79,CBSE,83,Computer Science and Design,9.21,High,0,0,0,0,4,Good,1,5,0
Female,CBSE,74,WBCHSE,92,Information Technology,7.34,Average,1,1,0,1,4,Good,1,8,1
Male,ICSE,95.2,ISE,60.9,Mechanical Engineering,8.89,High,1,1,1,0,2,Below Average,0,4,0
Male,WBBSE,32,WBCHSE,59.83,Information Technology,9.2,High,0,0,0,1,2,Below Average,1,4,0
Female,State Board,96.1,CBSE,87.9,Mechanical Engineering,8.34,High,0,1,0,1,2,Below Average,1,5,1
Male,ICSE,97.5,ISE,62.3,Computer Science in Data Science,8.94,High,1,1,0,1,4,Good,1,8,0
Female,State Board,89.9,Other state Board,73.1,Electronics and Communication Engineering,7.24,Average,0,0,0,1,3,Average,0,4,0
Male,CBSE,90.2,ISE,76,Information Technology,9.11,High,1,1,0,1,2,Below Average,1,6,1
Female,CBSE,85.4,Other state Board,91.7,Electronics and Communication Engineering,7.87,High,1,1,0,1,5,Excellent,1,9,0
Female,ICSE,92.1,ISE,83,Information Technology,7.49,Average,0,0,0,1,2,Below Average,1,4,1
Female,CBSE,74.7,CBSE,93.1,Computer Science and Engineering,8.11,High,1,1,0,1,3,Average,0,6,0
Male,WBBSE,47,WBCHSE,88,Electrical Engineering,7.9,High,1,1,1,1,3,Average,1,7,1
Female,CBSE,93.4,Other state Board,88,Civil Engineering,8.49,High,0,0,0,1,2,Below Average,1,4,1
Female,State Board,97.5,WBCHSE,60.3,Computer Science and Design,9.29,High,1,0,0,1,1,Poor,1,4,1
Male,WBBSE,91,WBCHSE,87,Computer Science and Design,8.2,High,1,1,1,1,3,Average,0,6,1
Female,ICSE,74.3,Other state Board,93.1,Mechanical Engineering,8.36,High,0,0,0,1,5,Excellent,1,7,1
Male,ICSE,99.8,ISE,80.8,Computer Science in Data Science,8.26,High,1,0,0,1,3,Average,1,6,1
Female,CBSE,70.7,Other state Board,62.2,Mechanical Engineering,8.2,High,0,0,0,1,5,Excellent,1,7,1
Male,State Board,95.4,CBSE,79,Chemical Engineering,7.96,High,1,1,0,1,5,Excellent,1,9,1
Female,WBBSE,88.4,Other state Board,83.4,Computer Science and Design,7.4,Average,0,1,0,1,1,Poor,1,4,0
Male,WBBSE,89.5,ISE,79.9,Computer Science and Engineering,8.41,High,1,0,1,0,5,Excellent,0,6,0
Male,State Board,72.2,Other state Board,80.5,Chemical Engineering,9.28,High,0,0,0,0,2,Below Average,1,3,0
Male,WBBSE,87.5,WBCHSE,72.9,Computer Science and Engineering,8.18,High,1,0,0,0,3,Average,0,4,0
Male,State Board,75.2,ISE,85.5,Computer Science in Data Science,8.18,High,1,1,0,0,1,Poor,0,3,0
Male,ICSE,87.4,WBCHSE,91.4,Electronics and Communication Engineering,8.41,High,1,0,1,1,1,Poor,1,4,0
Male,ICSE,98.3,Other state Board,94.7,Information Technology,8.52,High,1,0,0,1,1,Poor,1,4,1
Male,ICSE,85.2,Other state Board,80.7,Information Technology,7.69,High,0,0,0,1,1,Poor,1,3,1
Male,State Board,86.6,Other state Board,81.3,Electrical and Electronics Engineering,7.15,Average,0,1,1,0,5,Excellent,0,6,0
Male,ICSE,94.1,ISE,62.8,Mechanical Engineering,7.55,High,0,1,0,1,5,Excellent,1,8,1
Male,WBBSE,79.4,WBCHSE,79.4,Information Technology,9.34,High,0,1,0,1,2,Below Average,0,4,0
Male,WBBSE,95.1,Other state Board,81.7,Computer Science in Data Science,8.08,High,1,0,0,1,1,Poor,1,4,0
Female,ICSE,72,Other state Board,90.5,Electronics and Communication Engineering,9.21,High,0,1,0,1,1,Poor,1,4,1
Female,CBSE,84.5,WBCHSE,87.4,Chemical Engineering,7.67,High,0,0,0,1,5,Excellent,1,7,1
Male,WBBSE,75.7,Other state Board,80.6,Electronics and Communication Engineering,7.35,Average,1,0,0,1,4,Good,1,7,1
Male,CBSE,91.7,WBCHSE,91.9,Chemical Engineering,7.14,Average,1,0,0,0,2,Below Average,1,4,0
Female,ICSE,82.8,Other state Board,89.8,Electrical Engineering,8.45,High,1,1,0,1,3,Average,1,7,0
Female,State Board,80.2,CBSE,74.7,Computer Science and Engineering,8.82,High,1,1,1,0,2,Below Average,1,5,0
Female,ICSE,92.7,CBSE,82.1,Electrical and Electronics Engineering,8.88,High,1,1,1,0,1,Poor,1,4,0
Female,CBSE,82.9,Other state Board,86.1,Mechanical Engineering,9.23,High,0,1,0,0,4,Good,1,6,0
Male,State Board,85.7,Other state Board,63.6,Electrical Engineering,9.02,High,1,0,0,1,4,Good,1,7,1
Female,CBSE,87.5,Other state Board,87.3,Electronics and Communication Engineering,7.23,Average,1,1,0,0,3,Average,0,5,0
Male,ICSE,95.6,CBSE,94,Electrical and Electronics Engineering,8.21,High,0,1,0,0,5,Excellent,0,6,0
Male,ICSE,77.6,ISE,84.6,Mechanical Engineering,9.12,High,0,1,1,0,2,Below Average,0,3,0
Female,CBSE,79.7,Other state Board,91.5,Computer Science and Design,9.21,High,1,1,0,0,2,Below Average,1,5,0
Female,WBBSE,82,Other state Board,75.9,Electrical and Electronics Engineering,7.6,High,0,1,0,1,1,Poor,1,4,1
Female,WBBSE,70.7,ISE,77.4,Civil Engineering,8.22,High,0,0,0,0,2,Below Average,1,3,0
Female,CBSE,77.3,CBSE,91.4,Computer Science in AIML,8.92,High,1,0,0,1,3,Average,1,6,1
Female,ICSE,81,CBSE,79.8,Electrical Engineering,8.1,High,0,1,0,1,2,Below Average,0,4,0
Male,CBSE,82.9,ISE,71.8,Mechanical Engineering,7.46,Average,0,0,1,1,4,Good,0,5,0
Female,CBSE,76.2,Other state Board,74.8,Electronics and Communication Engineering,9.04,High,1,0,0,0,4,Good,0,5,0
Male,ICSE,83.6,Other state Board,70.9,Computer Science and Engineering,8.95,High,0,0,0,1,2,Below Average,1,4,1
Female,ICSE,78.7,Other state Board,62.5,Mechanical Engineering,9.16,High,1,1,1,0,3,Average,0,5,0
Male,State Board,78.6,ISE,86.9,Electrical Engineering,8.23,High,0,1,1,1,1,Poor,1,4,0
Female,CBSE,88.1,ISE,82.6,Chemical Engineering,7.1,Average,1,1,0,1,4,Good,1,8,1
Female,State Board,85.5,Other state Board,82.4,Computer Science and Engineering,7.49,Average,0,0,0,1,1,Poor,1,3,1
Male,ICSE,91.8,CISCE,88.5,Computer Science and Engineering,9.48,High,0,0,1,1,3,Average,1,5,1
Female,WBBSE,73.2,WBCHSE,65,Computer Science and Engineering,7.79,High,0,0,0,1,4,Good,1,6,1
Female,CBSE,99.9,ISE,86.4,Electrical Engineering,9.16,High,1,0,0,1,3,Average,1,6,1
Female,CBSE,77.5,WBCHSE,69,Civil Engineering,8.3,High,0,0,0,1,4,Good,0,5,0
Female,WBBSE,83.7,WBCHSE,91,Electronics and Communication Engineering,7.11,Average,0,1,0,0,4,Good,1,6,0
Female,ICSE,91.7,CBSE,68.9,Computer Science and Design,8.34,High,0,1,0,0,2,Below Average,0,3,0
Male,WBBSE,72.4,ISE,80.6,Electronics and Communication Engineering,9.16,High,1,0,0,1,2,Below Average,1,5,1
Female,WBBSE,70.8,Other state Board,65.1,Electrical and Electronics Engineering,8.64,High,0,1,0,1,3,Average,0,5,0
Male,ICSE,82.9,ISE,87.3,Electrical and Electronics Engineering,8.49,High,0,1,0,1,2,Below Average,1,5,1
Female,CBSE,84.8,Other state Board,92.8,Electrical Engineering,7.01,Average,0,0,0,1,2,Below Average,1,4,1
Male,ICSE,99.8,CBSE,63.7,Civil Engineering,9.35,High,0,1,0,0,3,Average,0,4,0
Female,State Board,70.6,Other state Board,70.7,Electronics and Communication Engineering,8.43,High,1,1,0,1,1,Poor,1,5,1
Male,State Board,91.2,Other state Board,73.3,Electrical and Electronics Engineering,8.49,High,1,0,0,1,5,Excellent,1,8,1
Male,State Board,80.5,CBSE,68.6,Electronics and Communication Engineering,7.28,Average,0,0,1,1,2,Below Average,0,3,0
Female,CBSE,70.9,ISE,94.8,Electronics and Communication Engineering,8.8,High,1,0,0,1,1,Poor,1,4,0
Female,WBBSE,97,WBCHSE,88.6,Chemical Engineering,8.24,High,0,1,0,1,4,Good,1,7,1
Female,CBSE,88.3,Other state Board,78.4,Electronics and Communication Engineering,7.61,High,1,1,0,0,5,Excellent,0,7,0
Male,WBBSE,88.7,WBCHSE,83.6,Computer Science and Engineering,7.27,Average,0,1,0,1,5,Excellent,1,8,1
Female,CBSE,85.3,CBSE,76.4,Electronics and Communication Engineering,9.25,High,0,0,0,1,4,Good,0,5,0
Male,State Board,59,Other state Board,55,Electrical Engineering,7.93,High,0,1,1,1,3,Average,0,5,1
Female,State Board,87.1,CBSE,87,Computer Science and Design,8.68,High,1,0,0,1,5,Excellent,1,8,1
Male,State Board,96.5,Other state Board,80.9,Information Technology,8.27,High,1,0,0,0,1,Poor,1,3,0
Male,State Board,91,Other state Board,86.1,Electrical Engineering,8.82,High,0,1,0,1,2,Below Average,1,5,1
